label,message
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
ham,how tall are you princess?
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?
ham,K.k.how is your business now?
ham,HELLO PEACH! MY CAKE TASTS LUSH!
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .
ham,Please tell me you have some of that special stock you were talking about
ham,"Yo, you around? Just got my car back"
ham,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me"
ham,Thnx dude. u guys out 2nite?
ham,Yup bathe liao...
ham,"YEH I AM DEF UP4 SOMETHING SAT,JUST GOT PAYED2DAY & I HAVBEEN GIVEN A£50 PAY RISE 4MY WORK & HAVEBEEN MADE PRESCHOOLCO-ORDINATOR 2I AM FEELINGOOD LUV"
ham,Hey company elama po mudyadhu.
ham,How much you got for cleaning
ham,He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
ham,If you have belive me. Come to my home.
ham,What are youdoing later? Sar xxx
ham,Shall i send that exe to your mail id.
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
ham,I want to go to perumbavoor
ham,As in i want custom officer discount oh.
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,Wat uniform? In where get?
ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u "
spam,RCT' THNQ Adrian for U text. Rgds Vatian
ham,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
ham,Just getting back home
ham,"U so lousy, run already come back then half dead... Hee..."
ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
ham,Or just do that 6times
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
ham,What r u cooking me for dinner?
ham,When i have stuff to sell i.ll tell you
ham,"I'm in solihull, | do you want anything?"
ham,Watching ajith film ah?
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
ham,Dear we got  &lt;#&gt;  dollars hi hi
ham,How much for an eighth?
ham,Its sunny in california. The weather's just cool
ham,Dont let studying stress you out. L8r.
ham,Ok... But bag again..
ham,In that case I guess I'll see you at campus lodge
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later."
spam,"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)"
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,Yes:)here tv is always available in work place..
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,Just sleeping..and surfing
ham,I dont know exactly could you ask chechi.
spam,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
ham,And do you have any one that can teach me how to ship cars.
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
ham,"Thanks da thangam, i feel very very happy dear. I also miss you da."
ham,We left already we at orchard now.
ham,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
ham,"Aight, can you text me the address?"
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
ham,I AM AT THE GAS STATION. GO THERE.
ham,Ill call you evening ill some ideas.
ham,I have no idea where you are
ham,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?
ham,She went to attend another two rounds today..but still did't reach home..
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
ham,What's up. Do you want me to come online?
ham,U in town alone?
ham,The evo. I just had to download flash. Jealous?
ham,Ok... I din get ur msg...
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
ham,"Haven't seen my facebook, huh? Lol!"
ham,Ü only send me the contents page...
ham,Just got outta class gonna go gym.
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  
ham,My computer just fried the only essential part we don't keep spares of because my fucking idiot roommates looovvve leaving the thing running on full  &lt;#&gt; /7
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
ham,How come u got nothing to do?
ham,K.:)you are the only girl waiting in reception ah?
ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love"
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
ham,* Will be september by then!
ham,I will lick up every drop :) are you ready to use your mouth as well?
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
ham,Have you started in skye
ham,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply
ham,Din i tell u jus now 420
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,K.k.this month kotees birthday know?
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
ham,Are you wet right now?
ham,Ok then i will come to ur home after half an hour
ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
ham,Our Prashanthettan's mother passed away last night. pray for her and family.
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please.... 
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,K..u also dont msg or reply to his msg..
ham,"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night...."
ham,Will do. Have a good day
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone"""
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
spam,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
ham,I only haf msn. It's yijue@hotmail.com
ham,K tell me anything about you.
ham,Oh thanks a lot..i already bought 2 eggs ..
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,Ic. There are a lotta childporn cars then.
ham,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
ham,Yeah sure I'll leave in a min
ham,"Yes obviously, but you are the eggs-pert and the potato head… Speak soon! "
ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.
ham,What time do u get out?
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
ham,How abt making some of the pics bigger?
ham,Yo we are watching a movie on netflix
ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
ham,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
ham,Sorry de i went to shop.
ham,Dear how is chechi. Did you talk to her
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
spam,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk
ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) 
ham,U wan 2 haf lunch i'm in da canteen now.
ham,I‘m going to try for 2 months ha ha only joking
ham,", how's things? Just a quick question."
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties..."
ham,Ok.
spam,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
ham,You said not now. No problem. When you can. Let me know.
ham,Long beach lor. Expected... U having dinner now?
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.
ham,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow."
ham,At 7 we will go ok na.
ham,Ok can...
ham,Pls i wont belive god.not only jesus.
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
ham,U reach orchard already? U wan 2 go buy tickets first?
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... 
ham,Congrats. That's great. I wanted to tell you not to tell me your score cos it might make me relax. But its motivating me so thanks for sharing
ham,Xy trying smth now. U eat already? We havent...
ham,S.this will increase the chance of winning.
ham,"Oh fine, I'll be by tonight"
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,Alright took the morphine. Back in yo.
ham,Who u talking about?
ham,Thank you baby! I cant wait to taste the real thing...
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
